Numéro;SortieEnSalleLe;VuLe;Titre;Affiche;TitreOriginal;Pays;Réalisateur;Acteurs ;Avis;Comment;Prix;Ou;JeLai;Accompagnants;StyleGenre;Commentaire;Top de l'année
F1288;31/12/2003;12/05/2012;Master and commander;Master and commander;Master and Commander: The Far Side of the World;USA;Peter Weir;Russell Crowe, Paul Bettany;pas mal;download Pirate Bay;0;portable ds le train;;alone;Aventure pirate;bien réalisé mais pas captivant, et en plus c 1 navire anglais qi coule un français l'Achéron….;0
F1289;22/06/2011;13/05/2012;Blitz;Blitz;;Angleterre;Elliott Lester;Jason Statham, Paddy Considine;moyen;canal + à la dmde;0;Télé au 4;;alone;Polar;peu crédible, le flic vengeur……..;0
F1290;09/05/2012;13/05/2012;Chercher le garçon;Chercher le garçon;;France;Dorothée Sebagh;Sophie Cattani;pas mal;LePass_4mars2013;0;Gaumont Opera Premier;;alone;Comédie amoureuse;jolie minois, se laisse abordé et manipulée un peu trop facilement, mais qd on cherche désesperement………..;0
F1291;09/05/2012;15/05/2012;Sea, No Sex & Sun;Sea, No Sex & Sun;;France;Christophe Turpin ;Fred Testot, Antoine Duléry, Julie Ferrier, Patrick Bouchitey;passable;LePass_4mars2013;0;Gaumont Opera Premier;;alone;Comédie amoureuse;petit téléfilm tr gentil, fred a d progrés à faire……;0
F1292;16/05/2012;17/05/2012;Contrebande;Contrebande;Contraband;USA;Baltasar Kormakur;Mark Wahlberg, Kate Beckinsale, Ben Foster, Giovanni Ribisi, J.K. Simmons, Lukas Haas;moyen;LePass_4mars2013;0;Gaumont Opera Premier;;alone;Action;décor new orleans bien, scénar trop chargé et tr classique;
F1293;16/05/2012;17/05/2012;De rouille et d'os;De rouille et d'os;Un goût de rouille et d'os;France;Jacques Audiard ;Marion Cotillard, Matthias Schoenaerts, Céline Sallette, Corinne Masiero, Bouli Lanners;moyen;LePass_4mars2013;0;Gaumont Marignan;;alone;Pathos;qq trucs interessants, mais pas vraiment prenant;0
F1294;16/05/2012;17/05/2012;The Day He Arrives 'Matins calmes à Séoul';The Day He Arrives 'Matins calmes à Séoul';Book chon bang hyang;Corée du Sud;Hong Sang-soo;Yu Junsang, Kim Sangsoo, Song Sunmi, Kim Bokyung;pas mal;LePass_4mars2013;0;Balzac;;alone;Mœurs amoureux;tjrs sur le mem theme, des coréèns qui se cherchent se séparent tombent amoureux…..;0
F1295;06/04/2011;18/05/2012;Pina;Pina;;Allemagne;Wim Wenders;Pina Bausch et ses danseurs;pas mal;canal + à la dmde;0;Télé au 4;;alone;documentaire danse moderne;tr beaux tableaux tr esthetique;
F1296;09/05/2012;20/05/2012;Chroniques sexuelles d'une famille d'aujourd'hui;Chroniques sexuelles d'une famille d'aujourd'hui;;France;Jean-Marc Barr, Pascal Arnold;Mathias Melloul, Valérie Maës, Nathan Duval, Leïla Denio, Stephan Hersoen, Adeline Rebeillard, Gregory Annoni, Yan Brian;moyen;LePass_4mars2013;0;Gaumont Parnasse;;alone;Mœurs amoureux;du sexe mais jamais vulgaire, qq passages rigolos mais pas assez…..;0
F1297;06/07/2011;20/05/2012;Hanna;Hanna;;Angleterre;Joe Wright;Saoirse Ronan, Eric Bana, Vicky Krieps, Cate Blanchett;moyen;canal + à la dmde;0;Télé au 4;;alone;Action futuro-espionnage;jeune soldate bionique, trop invraisemblable;
