Numéro;SortieEnSalleLe;VuLe;Titre;Affiche;TitreOriginal;Pays;Réalisateur;Acteurs ;Avis;Comment;Prix;Ou;JeLai;Accompagnants;StyleGenre;Commentaire;Top de l'année
F0001;21/03/1952;10/05/1969;Fanfan la Tulipe;Fanfan la Tulipe;;France;Christian-Jaque ;Gérard Philipe, Gina Lollobrigida;bien;Ciné Plein Tarif ;0;Florida Agen;;ma classe de CM2;;1er ciné de ma vie;
F0002;07/10/1960;01/01/1970;Ben-Hur;Ben-Hur.jpg;Ben-Hur;USA;William Wyler;Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd,;Tr bien;Ciné Plein Tarif ;0;Florida Agen;;Lou Papa, La Mama;;Maman qu'est-ce qui va se passer ?;
F0003;01/07/1953;01/02/1971;Stalag 17;Stalag17.jpg;;USA;Billy Wilder ;William Holden, Don Taylor, Otto Preminger, Robert Strauss, Harvey Lembeck, Richard Erdman, Peter Graves,;Tr bien;diffusion chaines;0;Télé Rouquet;;;;;
F0004;29/09/1971;30/09/1971;Pas d'orchidées pour Miss Blandish;PAS D'ORCHIDEES POUR MISS BLANDISH;The Grissom Gang;USA;Robert Aldrich;Kim Darby, Scott Wilson, Tony Musante, Robert Lansing,;moyen;diffusion chaines;0;Télé Rouquet;;;;;
F0005;08/12/1971;08/12/1971;La Folie des grandeurs;LA FOLIE DES GRANDEURS;;France;Gérard Oury;Louis de Funès, Yves Montand, Alice Sapritch,;moyen;diffusion chaines;0;Télé Rouquet;;;;;
F0006;08/12/1971;09/12/1971;Les Aristochats;LES ARISTOCHATS;The Aristocats;USA;Wolfgang Reitherman;Animation Walt Disney;bien;Ciné Plein Tarif ;0;Télé Rouquet;;;;;
F0007;06/02/1927;10/01/1972;Metropolis;Metropolis;Metropolis;Allemagne;Fritz Lang;Alfred Abel, Gustav Fröhlich, Brigitte Helm,;bien;diffusion chaines;0;Télé Agen;;;;;
F0008;19/08/1932;10/01/1972;Tarzan, l'homme singe;TarzanhommeSinge.jpg;Tarzan the Ape Man;USA;W.S. Van Dyke;Johnny Weissmuller, Maureen O'Sullivan;Tr bien;diffusion chaines;0;Télé Agen;;;;Ungawa Tinta !!;
F0009;29/09/1933;10/02/1972;King Kong;King Kong.jpg;King Kong;USA;Ernest B.Schoedsack et Merian C.Cooper;Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher;Tr bien;diffusion chaines;0;Télé Agen;;;;;
F0010;30/10/1935;10/02/1972;Les 39 marches;Les 39 marches;The Thirty Nine Steps ;USA;Alfred Hitchcock;Robert Donat, Madeleine Carroll, Lucie Mannheim,;Tr bien;diffusion chaines;0;Télé Agen;;;;;
F0011;04/05/1938;10/03/1972;Blanche-Neige et les sept nains;BLANCHE NEIGE ET LES 7 NAINS;Snow White and the Seven Dwarfs;USA;Walt Disney;Animation Walt Disney;bien;diffusion chaines;0;Télé Agen;;;;;
F0012;26/06/1946;10/03/1972;Le Magicien d'oz;LE MAGICIEN D'OZ;The Wizard of Oz;USA;Victor Fleming;Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr;pas mal;diffusion chaines;0;Télé Agen;;;;;
F0013;07/10/1955;10/04/1972;20 000 lieues sous les mers;20 000 lieues sous les mers.jpg;20000 Leagues Under the Sea;USA;Richard Fleischer;Kirk Douglas, James Mason, Paul Lukas, Peter Lorre,;bien;diffusion chaines;0;Télé Agen;;;;;
F0014;26/04/1951;10/04/1972;Winchester 73;Winchester 73;;USA;Anthony Mann;James Stewart, Shelley Winters;bien;diffusion chaines;0;Télé Agen;;;;;
F0015;04/05/1972;05/05/1972;L'Aventure c'est L'Aventure;L'AVENTURE C'EST L'AVENTURE;;France;Claude Lelouch;Lino Ventura, Jacques Brel, Charles Denner, Charles Gérard, Aldo Maccione ;bien;diffusion chaines;0;Télé Rouquet;;;;;
F0016;12/08/1970;05/05/1972;MASH;MASH;MASH;USA;Robert Altman;Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman, Robert Duvall,;pas mal;diffusion chaines;0;Télé Rouquet;;;;Lèvres en feu……tr excitant c film…..;
F0017;26/10/1956;10/05/1972;La Traversée de Paris;LA TRAVERSEE DE PARIS;;France;Claude Autant-Lara;Jean Gabin, Bourvil, Louis de Funès;bien;diffusion chaines;0;Télé Agen;;;;;
F0018;03/10/1956;10/05/1972;L'ultime razzia;L'ULTIME RAZZIA;The Killing;USA;Stanley Kubrick;Sterling Hayden, Coleen Gray, Vince Edwards;bien;diffusion chaines;0;Télé Agen;;;;;
F0019;08/12/1974;16/05/1972;La Grande Vadrouille;LA GRANDE VADROUILLE;;France;Gérard Oury ;Bourvil, Louis de Funès,;bien;diffusion chaines;0;Télé Agen;;;;;
F0020;21/10/1959;10/06/1972;La Mort aux trousses;LA MORT AUX TROUSSES;North by Northwest;USA;Alfred Hitchcock;Cary Grant, Eva Marie Saint, James Mason,;bien;diffusion chaines;0;Télé Agen;;;;;
F0021;21/10/1959;10/06/1972;Rio bravo;RIO BRAVO;;USA;Howard Hawks;John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson,;bien;diffusion chaines;0;Télé Agen;;;;;
F0022;23/12/1959;10/07/1972;Le Chien des Baskerville;LE CHIEN DES BASKERVILLE;The Hound of the Baskervilles;Angleterre;Terence Fisher;Peter Cushing, André Morell, Christopher Lee,;moyen;diffusion chaines;0;Télé Agen;;;;;
F0023;10/05/1960;10/07/1972;Un taxi pour Tobrouk;Un taxi pour Tobrouk.jpg;;France;Denys De La Patellière;Hardy Krüger, Lino Ventura, Maurice Biraud, Charles Aznavour, Germán Cobos;bien;diffusion chaines;0;Télé Agen;;;;;
F0024;01/10/1960;10/08/1972;Le Tigre du bengale;LE TIGRE DU BENGALE (1959);Der Tiger von Eschnapur;Allemagne;Fritz Lang;Debra Paget, Paul Hubschmid, Walter Reyer,;bien;diffusion chaines;0;Télé Agen;;;;;
F0025;02/11/1960;10/08/1972;Psychose;PSYCHOSE;Psycho;USA;Alfred Hitchcock;Anthony Perkins, Janet Leigh, Vera Miles,;bien;diffusion chaines;0;Télé Agen;;;;;
F0026;01/02/1961;10/09/1972;Les Sept mercenaires;LES 7 MERCENAIRES.jpg;The Magnificent Seven;USA;John Sturges;Yul Brynner, Eli Wallach, Steve McQueen, Horst Buchholz, Charles Bronson, Robert Vaughn, Brad Dexter, James Coburn,;bien;diffusion chaines;0;Télé Agen;;;;;
F0027;15/09/1961;10/09/1972;Spartacus;SPARTACUS (1960);;USA;Stanley Kubrick;Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton, Peter Ustinov;bien;diffusion chaines;0;Télé Agen;;;;;
F0028;04/06/1963;10/10/1972;Docteur Jerry et Mister Love;Docteur Jerry et Mister Love;The Nutty professor;USA;Jerry Lewis ;Jerry Lewis, Stella Stevens, Del Moore,;pas mal;diffusion chaines;0;Télé Agen;;;;;
F0029;15/03/1963;10/10/1972;Lawrence d'Arabie;LAWRENCE D'ARABIE;Lawrence of Arabia;USA;David Lean;Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, José Ferrer,;moyen;diffusion chaines;0;Télé Agen;;;;;
F0030;06/09/1963;10/11/1972;Les Oiseaux;LES OISEAUX;The Birds;USA;Alfred Hitchcock;Tippi Hedren, Rod Taylor,;bien;diffusion chaines;0;Télé Agen;;;;;
F0031;27/11/1963;10/11/1972;Les Tontons flingueurs;Les tontons flingueurs.jpg;;France;Georges Lautner;Lino Ventura, Bernard Blier, Francis Blanche, Claude Rich, Pierre Bertin, Robert Dalban, Jean Lefebvre,;bien;diffusion chaines;0;Télé Agen;;;;;
F0032;10/04/1964;10/12/1972;Docteur Folamour;Docteur Folamour.jpg;Dr. Strangelove;USA;Stanley Kubrick;Peter Sellers, George C. Scott, Sterling Hayden, James Earl Jones;Tr bien;diffusion chaines;0;Télé Agen;;;;;
F0033;16/12/1964;10/12/1972;Merlin l'enchanteur;MERLIN L'ENCHANTEUR;Sword in the Stone;USA;Wolfgang Reitherman;Animation Walt Disney;bien;diffusion chaines;0;Télé Agen;;;;;
F0034;18/12/1964;01/01/1973;Week-end à Zuydcoote;WEEK-END A ZUYDCOOTE;;France;Henri Verneuil ;Jean-Paul Belmondo, Catherine Spaak, Georges Géret, Jean-Pierre Marielle, Pierre Mondy, Marie Dubois, Christian Barbier;bien;diffusion chaines;0;Télé Agen;;;;;
F0035;31/03/1965;02/01/1973;La 317eme section;LA 317eme SECTION;;France;Pierre Schoendoerffer;Jacques Perrin, Bruno Cremer, Pierre Fabre,;pas mal;diffusion chaines;0;Télé Agen;;;;;
F0036;19/02/1966;03/01/1973;La Poursuite impitoyable;La Poursuite impitoyable.jpg;The Chase;USA;Arthur Penn ;Marlon Brando, Jane Fonda, Robert Redford, Angie Dickinson, Robert Duvall,;Tr bien;diffusion chaines;0;Télé Agen;;;Policier;"remarquable..;bcp d'emotions";
F0037;30/09/1966;04/02/1973;Et pour quelques dollars de plus;Et pour quelques dollars de plus;Per qualche dollaro in piu;USA;Sergio Leone;Clint Eastwood, Lee Van Cleef, Gian Maria Volonté, Klaus Kinski, ;pas mal;diffusion chaines;0;Télé Agen;;;;;
F0038;16/03/1966;04/02/1973;Pour une poignée de dollars;POUR UNE POIGNEE DE DOLLARS;Per un pugno di dollari;USA;Sergio Leone;Clint Eastwood, Marianne Koch, Gian Maria Volonté, ;pas mal;diffusion chaines;0;Télé Agen;;;;;
F0039;28/10/1966;06/03/1973;Atout cœur à Tokyo pour OSS 117;Atout cœur à Tokyo pour OSS 117.jpg;;USA;Michel Boisrond;Frederick Stafford, Marina Vlady,;pas mal;diffusion chaines;0;Télé Agen;;;;;
F0040;30/08/1967;06/03/1973;Fantasia;Fantasia;Walt Disney's Fantasia;USA;Walt Disney;Animation Walt Disney;pas mal;diffusion chaines;0;Télé Agen;;;;;
F0041;21/03/1973;22/03/1973;Duel;Duel;;USA;Steven Spielberg;Dennis Weaver, Jacqueline Scott, Eddie Firestone,;bien;diffusion chaines;0;Télé Agen;;;;;
F0042;08/11/1967;08/04/1973;Bonnie et Clyde;BONNIE AND CLYDE;Bonnie and Clyde;USA;Arthur Penn;Warren Beatty, Faye Dunaway, Gene Hackman,;bien;diffusion chaines;0;Télé Agen;;;;;
F0043;11/10/1967;08/04/1973;Oscar;Oscar.jpg;;France;Edouard Molinaro;Louis de Funès, Claude Rich, Claude Gensac, Paul Préboist;bien;diffusion chaines;0;Télé Agen;;;;;
F0044;01/04/1968;10/05/1973;Le Bal des vampires;LE BAL DES VAMPIRES;The Fearless Vampire Killers ;USA;Roman Polanski;Jack MacGowran, Roman Polanski, Sharon Tate,;pas mal;Ciné Plein Tarif ;;Galia Agen;;;;;
F0045;08/03/1968;10/05/1973;Le Bon, La Brute et le Truand;Le Bon, La Brute et le Truand.jpg;Il Buono, il brutto, il cattivo, The Good, the Bad and the Ugly;USA;Sergio Leone;Eli Wallach, Clint Eastwood, Lee Van Cleef,;bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0046;03/04/1968;12/06/1973;La Planète des singes;LA PLANETE DES SINGES;Planet of the Apes;USA;Franklin J. Schaffner;Charlton Heston, Roddy McDowall,;Tr bien;diffusion chaines;0;Télé Agen;;;;;
F0047;04/09/1968;12/06/1973;L'Affaire Thomas Crown;L'AFFAIRE THOMAS CROWN;The Thomas Crown Affair;USA;Norman Jewison;Steve McQueen, Faye Dunaway;pas mal;diffusion chaines;0;Télé Agen;;;;;
F0048;27/09/1968;14/07/1973;2001 : L'Odyssée de l'espace;2001 L'odyssée de l'espace.jpg;2001: A Space Odyssey;USA;Stanley Kubrick;Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter,;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0049;30/10/1968;14/07/1973;Rosemary's Baby;ROSEMARY'S BABY;;USA;Roman Polanski;Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer;pas mal;diffusion chaines;0;Télé Agen;;;;;
F0050;01/11/1968;16/08/1973;La Bande à Bonnot;LES ANARCHISTE OU LA BANDE A BONNOT;;France;Philippe Fourastié;Jacques Brel, Bruno Cremer, Annie Girardot, Jean-Pierre Kalfon,;bien;diffusion chaines;0;Télé Agen;;;Policier;à revoir;
F0051;04/12/1968;16/08/1973;Le Livre de la Jungle;LE LIVRE DE LA JUNGLE (1967);The Jungle Book;USA;Wolfgang Reitherman;Animation Walt Disney;bien;Ciné Plein Tarif ;;Galia Agen;;avec la fille de la voisine de Rouquet;;;
F0052;17/03/1969;18/09/1973;Bullitt;Bullitt;;USA;Peter Yates;Steve McQueen, Robert Vaughn, Jacqueline Bisset;bien;diffusion chaines;0;Télé Agen;;;Policier;première course-poursuite en voiture digne de ce nom (Dodge Charger R/T '68 et Ford Mustang Fastback GT '68 modele SHELBY 500;
F0053;27/08/1969;18/09/1973;Il était une fois dans l'ouest;iletaitunefoisdanslouest.jpg;C'era una volta il West;USA;Sergio Leone;Charles Bronson, Henry Fonda, Claudia Cardinale, Jason Robards, Jack Elam,;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0054;20/09/1973;21/09/1973;L'Emmerdeur;L'EMMERDEUR;;France;Edouard Molinaro;Lino Ventura, Jacques Brel, Caroline Cellier, Jean-Pierre Darras,;moyen;diffusion chaines;0;Télé Agen;;;;;
F0055;23/12/1953;20/10/1973;La Guerre des Mondes;LA GUERRE DES MONDES;The War of the Worlds;USA;Byron Haskin ;Gene Barry, Ann Robinson,;pas mal;diffusion chaines;0;Télé Agen;;;SF Anticipation;méchants martiens vaincus par bactèries..pour l'époque C pas mal;
F0056;14/12/1970;20/10/1973;Little Big Man;Little Big Man.jpg;;USA;Arthur Penn;Dustin Hoffman, Faye Dunaway, Dan George;Tr bien;diffusion chaines;0;Télé Agen;;;Western;la Bataille de Little Big Horn le 25 juin 1876…;
F0057;06/12/1973;07/12/1973;La Planète sauvage;LA PLANETE SAUVAGE;La planète sauvage;France;René laloux / Roland Topor;Animation France;bien;DVD bibliotek;0;Télé Agen;;;;;
F0058;16/01/1974;17/01/1974;L'Horloger de saint paul;L'HORLOGER DE SAINT-PAUL;;France;Bertrand Tavernier;Philippe Noiret, Jean Rochefort, Jacques Denis,;bien;diffusion chaines;0;Télé Agen;;;;;
F0059;13/03/1974;14/03/1974;Zardoz;ZARDOZ;;Angleterre;John Boorman;Sean Connery, Charlotte Rampling, ;moyen;diffusion chaines;0;Télé Agen;;;;;
F0060;26/06/1974;26/06/1974;Soleil vert;Soleil vert.jpg;Soylent Green;USA;Richard Fleischer;Charlton Heston, Leigh Taylor-Young, Chuck Connors,;Tr bien;diffusion chaines;0;Télé Agen;;;;;
F0061;13/12/1974;14/12/1974;Robin des Bois;Robin des Bois.jpg;Robin Hood;USA;Wolfgang Reitherman;Animation Walt Disney;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0062;26/02/1975;27/02/1975;Aguirre, la colère de Dieu;AGUIRRE LA COLERE DE DIEU;;Allemagne;Werner Herzog;Klaus Kinski;moyen;diffusion chaines;0;Télé Agen;;;;;
F0063;12/03/1975;13/03/1975;La Tour infernale;LA TOUR INFERNALE;;USA;John Guillermin;Steve McQueen, Paul Newman, William Holden, Faye Dunaway, Fred Astaire, Richard Chamberlain, Robert Vaughn;moyen;diffusion chaines;0;Télé Agen;;;;;
F0064;11/03/1955;12/07/1975;La Strada;LA STRADA;;Italie;Federico Fellini;Anthony Quinn, Giulietta Masina;bien;diffusion chaines;0;Télé Agen;;alone;road movie à l'italienne;ce film m'avait impréssionné;
F0065;11/09/1974;01/09/1975;L'Exorciste;L'Exorciste.jpg;The Exorcist;USA;William Friedkin;Linda Blair, Jason Miller, Ellen Burstyn, Max von Sydow, Lee J. Cobb,;pas mal;diffusion chaines;0;Télé Agen;;alone;;;
F0066;25/09/1975;25/09/1975;Les 3 Jours du Condor;LES 3 JOURS DU CONDOR;Three Days of the Condor;USA;Sydney Pollack;Robert Redford, Faye Dunaway, Cliff Robertson, Max von Sydow,;moyen;diffusion chaines;0;Télé St Cloud;;;;;
F0067;12/11/1975;13/11/1975;Rollerball;Rollerball.jpg;Rollerball;USA;Norman Jewison;James Caan, John Houseman, Maud Adams, John Beck,;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0068;03/12/1975;04/12/1975;Monty Python : Sacré Graal;MONTY PYTHON SACRE GRAAL;Monty Python and the Holy Grail;Angleterre;Terry Gilliam / Terry Jones;Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin,;bien;diffusion chaines;0;Télé St Cloud;;;;;
F0069;01/01/1976;02/01/1976;Les Dents de la mer;Jaws;Jaws;USA;Steven Spielberg;Roy Scheider, Robert Shaw, Richard Dreyfuss,;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0070;01/03/1976;02/03/1976;Vol au-dessus d'un nid de coucou;Volnidcoucou.jpg;One Flew over the Cuckoo's Nest;USA;Miloš Forman;Jack Nicholson, Louise Fletcher, William Redfield, Danny DeVito;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0071;15/05/1972;16/05/1976;Orange mécanique;Orange mécanique.jpg;A Clockwork Orange;USA;Stanley Kubrick;Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0072;02/06/1976;03/06/1976;Taxi driver;TAXI DRIVER;;USA;Martin Scorsese;Robert De Niro, Cybill Shepherd, Peter Boyle, Jodie Foster, Harvey Keitel,;moyen;diffusion chaines;0;Télé St Cloud;;;;;
F0073;08/09/1976;09/09/1976;Barry Lyndon;Barry Lyndon;;USA;Stanley Kubrick;Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger;moyen;Ciné Plein Tarif ;;Galia Agen;;;;;
F0074;08/09/1976;09/09/1976;King Kong;King Kong.jpg;King Kong;USA;John Guillermin ;Jeff Bridges, Charles Grodin, Jessica Lange;pas mal;diffusion chaines;0;Télé St Cloud;;;;;
F0075;17/11/1976;17/11/1976;La Malédiction;LA MALEDICTION;The Omen;USA;Richard Donner;Gregory Peck, Lee Remick ;bien;Ciné Plein Tarif ;;Galia Agen;;;Diableries;g eu les chocottes…..;
F0076;22/12/1976;23/12/1976;Marathon man;MARATHON MAN;;USA;John Schlesinger;Dustin Hoffman, Laurence Olivier, Roy Scheider, William Devane, Marthe Keller;pas mal;diffusion chaines;0;Télé St Cloud;;;;;
F0077;30/07/1973;31/07/1977;Chacal;Chacal;The Day of the Jackal;France;Fred Zinnemann;Edward Fox, Terence Alexander, Michael Lonsdale, Delphine Seyrig, Michel Auclair ;bien;diffusion chaines;0;Télé Agen;;;Thriller Historique;..feutré…Le grand Charles se penche juste au moment ou…;
F0078;26/02/1969;01/08/1977;Z;Z.jpg;;France;Costa-Gavras ;Yves Montand, Irene Papas, Jean-Louis Trintignant, Jacques Perrin, Charles Denner, François Périer, Pierre Dux, Georges Géret, Bernard Fresson;Tr bien;diffusion chaines;0;Télé Agen;;;Politico-historique;à influencé mon idéal politique;
F0079;04/09/1975;05/09/1977;Tarzoon, la honte de la jungle ;LA HONTE DE LA JUNGLE;;France;Picha et Boris Szulzinger;Animation France;bien;diffusion chaines;0;Télé Agen;;;BD marrante et coquine;..assez exitant….;
F0080;19/10/1977;19/10/1977;Star Wars épisode 4 - Un Nouvel Espoir;Star Wars épisode 4 - Un Nouvel Espoir.jpg;Star Wars : Episode 4 : A New Hope;USA;George Lucas;Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness,;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0081;24/02/1978;25/02/1978;Rencontres du troisième type;RENCONTRES DU TROISIEME TYPE;Close Encounters of the Third Kind;USA;Steven Spielberg ;Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon,;pas mal;Ciné Plein Tarif ;;Galia Agen;;;;;
F0082;16/06/1978;16/06/1978;Les Dents de la mer 2;LES DENTS DE LA MER 2;Jaws 2 ;USA;Jeannot Szwarc, Joe Alves ;Roy Scheider, Lorraine Gary;bien;Ciné Plein Tarif ;;Galia Agen;;;Méchante bestiole;bonne suite;
F0083;13/11/1978;14/11/1978;Midnight Express;MIDNIGHT EXPRESS;;USA;Alan Parker;Brad Davis, Irene Miracle, Bo Hopkins, Paolo Bonacelli, Paul L. Smith, Randy Quaid, Norbert Weisser, John Hurt;bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0084;26/01/1979;27/01/1979;Superman;SUPERMAN;;USA;Richard Donner;Christopher Reeve, Marlon Brando, Gene Hackman, Ned Beatty, Jackie Cooper, Glenn Ford,;moyen;diffusion chaines;0;Télé St Cloud;;;;;
F0085;12/09/1979;12/09/1979;ALIEN : Le 8ème passager;alien1.jpg;Alien;USA;Ridley Scott;Sigourney Weaver, Tom Skerritt, Veronica Cartwright, Harry Dean Stanton, John Hurt, Ian Holm,;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0086;26/09/1979;26/09/1979;Apocalypse Now;Apocalypse Now;Apocalypse Now;USA;Francis Ford Coppola;Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest, Laurence Fishburne, Harrison Ford, Dennis Hopper,;bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0087;31/10/1979;31/10/1979;L'Evadé d'Alcatraz;L'Evadé d'Alcatraz;Escape from Alcatraz;USA;Don Siegel;Clint Eastwood, Patrick McGoohan,;pas mal;diffusion chaines;0;Télé St Cloud;;;;;
F0088;05/12/1979;05/12/1979;Manhattan;MANHATTAN;;USA;Woody Allen;Woody Allen, Diane Keaton, Michael Murphy, Mariel Hemingway, Meryl Streep,;pas mal;Ciné Plein Tarif ;;Galia Agen;;;;;
F0089;14/01/1972;14/01/1980;French Connection;French Connection.jpg;The French Connection;USA;William Friedkin;Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco, Marcel Bozzuffi,;Tr bien;diffusion chaines;0;Télé St Cloud;;;;;
F0090;23/01/1980;24/01/1980;C'était demain;C'ETAIT DEMAIN;Time After Time;USA;Nicholas Meyer;Malcolm McDowell, David Warner, Mary Steenburgen,;bien;diffusion chaines;0;Télé St Cloud;;;;;
F0091;06/08/1975;14/02/1980;French connection II;French connection II.jpg;;USA;John Frankenheimer;Gene Hackman, Fernando Rey, Bernard Fresson, Philippe Léotard,;Tr bien;diffusion chaines;0;Télé St Cloud;;;;;
F0092;26/02/1975;27/02/1980;Dupont Lajoie;Dupont Lajoie;;France;Yves Boisset;Jean Carmet, Pierre Tornade, Ginette Garcin, Pascale Roberts, Jean Bouise, Jean-Pierre Marielle, Robert Castel, Isabelle Huppert, Jacques Villeret, Victor Lanoux;bien;diffusion chaines;0;Télé St Cloud;;;Racisme français ordinaire;…a forgé mon anti-racisme…;
F0093;11/06/1980;11/06/1980;Sex o'clock USA;SEX OCLOCK USA;;USA;François Reichenbach;documentaire;bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0094;20/08/1980;21/08/1980;Star Wars épisode 5 - L'empire contre-attaque;Star Wars épisode 5 - L'empire contre-attaque;Star Wars : Episode 2 : The Empire strikes back;USA;Irvin Kershner;Mark Hamill, Harrison Ford, Carrie Fisher;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0095;09/10/1980;10/10/1980;Elephant Man;Elephant Man.jpg;The Elephant Man;USA;David Lynch;John Hurt, Anthony Hopkins, Anne Bancroft;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0096;16/10/1980;16/10/1980;Shinning;Shinning.jpg;The Shining;USA;Stanley Kubrick;Jack Nicholson, Shelley Duvall, Danny Lloyd;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0097;07/11/1980;08/11/1980;The Blues Brothers ;The Blues Brothers.jpg;;USA;John Landis;John Belushi, Dan Aykroyd, Carrie Fisher, Cab Calloway, Aretha Franklin, James Brown, Ray Charles, John Lee Hooker;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;Comédie musicalement réussie;scénar excellent, bons gags, ziq exceptionel;
F0098;23/03/1975;10/12/1980;Que la fête commence;QUE LA FETE COMMENCE;;France;Bertrand Tavernier,;Philippe Noiret, Jean Rochefort, Jean-Pierre Marielle, Marina Vlady, Christine Pascal;bien;diffusion chaines;0;Télé Agen;;;Historique;..tr érotique;
F0099;16/02/1972;11/12/1980;L'Inspecteur Harry;Dirty Harry;Dirty Harry;USA;Don Siegel ;Clint Eastwood, Andrew Robinson;bien;diffusion chaines;0;Télé Agen;;;Policier;;
F0100;01/05/1972;12/12/1980;Tout le monde il est beau, tout le monde il est gentil;TOUT LE MONDE IL EST BEAU TOUT LE MONDE IL EST GENTIL;;France;Jean Yanne ;Jean Yanne, Bernard Blier, Michel Serrault, Marina Vlady, Paul Préboist, Daniel Prévost, Jean-Marie Proslier ;bien;diffusion chaines;0;Télé Agen;;;;Daniel Prevost qui teste des boites de conserve et chope plein de boutons….;
F0101;12/05/1972;13/12/1980;Avoir vingt ans dans les Aurès;AVOIR 20 ANS DANS LES AURES;;France;René Vautier ;Philippe Léotard,  Alexandre Arcady, Hamid Djellouli;bien;diffusion chaines;0;Télé Agen;;;;a participé à mon idéal anti-militariste;
F0102;01/10/1972;14/12/1980;Délivrance;Délivrance.jpg;Deliverance;USA;John Boorman;Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox;Tr bien;diffusion chaines;0;Télé Agen;;;Thriller;la scéne du viol suivi par vengeance à l'arbalette…bcp marqué ;
F0103;13/12/1974;15/12/1980;La Fureur du dragon;LA FUREUR DU DRAGON;;Hong-Kong;Bruce Lee ;Bruce Lee, Nora Miao, Chuck Norris, Robert Wall ;pas mal;diffusion chaines;0;Télé Agen;;;Arts martiaux;scéne mythique du combat Bruce Lee Chuck Norris;
F0104;17/12/1980;18/12/1980;La Boum;LA BOUM;;France;Claude Pinoteau;Sophie Marceau, Claude Brasseur, Brigitte Fossey, Denise Grey,;pas mal;Ciné Plein Tarif ;;Galia Agen;;;;;
F0105;11/03/1981;12/03/1981;Diva;Diva;;France;Jean-Jacques Beineix;Wilhelmenia Wiggins Fernandez, Frédéric Andrei, Richard Bohringer,;pas mal;Ciné Plein Tarif ;;Galia Agen;;;;;
F0106;13/05/1981;14/05/1981;Malevil;MALEVIL;;France;Christian De Chalonge;Michel Serrault, Jacques Dutronc, Jean-Louis Trintignant, Jacques Villeret ;pas mal;canal +;0;Télé St Cloud;;;;;
F0107;15/05/1976;16/05/1981;L'Empire des sens;L'EMPIRE DES SENS;;Japon;Nagisa Oshima;Tatsuya Fuji, Eiko Matsuda, Aoi Nakajima, Yasuko Matsui,;moyen;Ciné Plein Tarif ;;Cinéma Rochefort;;pote breton appelé;;;
F0108;27/05/1981;27/05/1981;Les Uns et les Autres;LES UNS ET LES AUTRES;;France;Claude Lelouch;James Caan, Géraldine Chaplin, Nicole Garcia;pas mal;Ciné Plein Tarif ;;Galia Agen;;;;;
F0109;27/05/1981;28/05/1981;Excalibur;Excalibur;;Angleterre;John Boorman;Nigel Terry, Helen Mirren, Cherie Lunghi,;bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0110;24/06/1981;25/06/1981;NEW YORK 1997;NEW YORK 1997.jpg;Escape From New York;USA;John Carpenter;Kurt Russell, Lee Van Cleef, Ernest Borgnine;Tr bien;Ciné Plein Tarif ;;Galia Agen;;;;;
F0111;08/07/1981;08/07/1981;Le Choc des Titans;Le choc des Titans;Clash of the Titans ;USA;Desmond Davis;Harry Hamlin, Judi Bowker, Laurence Olivier,;bien;canal +;0;Télé St Cloud;;;mytho;FX ok mais très bof;
